"","sector.name","subsector.name0","subsector.name","year","lifetime","intermittent.technology"
"1","base load generation","wind","wind_base",2015,30,"wind_base"
"2","base load generation","wind","wind_base",2020,30,"wind_base"
"3","base load generation","wind","wind_base",2025,30,"wind_base"
"4","base load generation","wind","wind_base",2030,30,"wind_base"
"5","base load generation","wind","wind_base",2035,30,"wind_base"
"6","base load generation","wind","wind_base",2040,30,"wind_base"
"7","base load generation","wind","wind_base",2045,30,"wind_base"
"8","base load generation","wind","wind_base",2050,30,"wind_base"
"9","base load generation","wind","wind_base",2055,30,"wind_base"
"10","base load generation","wind","wind_base",2060,30,"wind_base"
"11","base load generation","wind","wind_base",2065,30,"wind_base"
"12","base load generation","wind","wind_base",2070,30,"wind_base"
"13","base load generation","wind","wind_base",2075,30,"wind_base"
"14","base load generation","wind","wind_base",2080,30,"wind_base"
"15","base load generation","wind","wind_base",2085,30,"wind_base"
"16","base load generation","wind","wind_base",2090,30,"wind_base"
"17","base load generation","wind","wind_base",2095,30,"wind_base"
"18","base load generation","wind","wind_base",2100,30,"wind_base"
"19","base load generation","wind","wind_base_offshore",2015,25,"wind_base_offshore"
"20","base load generation","wind","wind_base_offshore",2020,25,"wind_base_offshore"
"21","base load generation","wind","wind_base_offshore",2025,25,"wind_base_offshore"
"22","base load generation","wind","wind_base_offshore",2030,25,"wind_base_offshore"
"23","base load generation","wind","wind_base_offshore",2035,25,"wind_base_offshore"
"24","base load generation","wind","wind_base_offshore",2040,25,"wind_base_offshore"
"25","base load generation","wind","wind_base_offshore",2045,25,"wind_base_offshore"
"26","base load generation","wind","wind_base_offshore",2050,25,"wind_base_offshore"
"27","base load generation","wind","wind_base_offshore",2055,25,"wind_base_offshore"
"28","base load generation","wind","wind_base_offshore",2060,25,"wind_base_offshore"
"29","base load generation","wind","wind_base_offshore",2065,25,"wind_base_offshore"
"30","base load generation","wind","wind_base_offshore",2070,25,"wind_base_offshore"
"31","base load generation","wind","wind_base_offshore",2075,25,"wind_base_offshore"
"32","base load generation","wind","wind_base_offshore",2080,25,"wind_base_offshore"
"33","base load generation","wind","wind_base_offshore",2085,25,"wind_base_offshore"
"34","base load generation","wind","wind_base_offshore",2090,25,"wind_base_offshore"
"35","base load generation","wind","wind_base_offshore",2095,25,"wind_base_offshore"
"36","base load generation","wind","wind_base_offshore",2100,25,"wind_base_offshore"
"37","intermediate generation","solar","CSP_int",2015,30,"CSP_int (dry_hybrid)"
"38","intermediate generation","solar","CSP_int",2020,30,"CSP_int (dry_hybrid)"
"39","intermediate generation","solar","CSP_int",2025,30,"CSP_int (dry_hybrid)"
"40","intermediate generation","solar","CSP_int",2030,30,"CSP_int (dry_hybrid)"
"41","intermediate generation","solar","CSP_int",2035,30,"CSP_int (dry_hybrid)"
"42","intermediate generation","solar","CSP_int",2040,30,"CSP_int (dry_hybrid)"
"43","intermediate generation","solar","CSP_int",2045,30,"CSP_int (dry_hybrid)"
"44","intermediate generation","solar","CSP_int",2050,30,"CSP_int (dry_hybrid)"
"45","intermediate generation","solar","CSP_int",2055,30,"CSP_int (dry_hybrid)"
"46","intermediate generation","solar","CSP_int",2060,30,"CSP_int (dry_hybrid)"
"47","intermediate generation","solar","CSP_int",2065,30,"CSP_int (dry_hybrid)"
"48","intermediate generation","solar","CSP_int",2070,30,"CSP_int (dry_hybrid)"
"49","intermediate generation","solar","CSP_int",2075,30,"CSP_int (dry_hybrid)"
"50","intermediate generation","solar","CSP_int",2080,30,"CSP_int (dry_hybrid)"
"51","intermediate generation","solar","CSP_int",2085,30,"CSP_int (dry_hybrid)"
"52","intermediate generation","solar","CSP_int",2090,30,"CSP_int (dry_hybrid)"
"53","intermediate generation","solar","CSP_int",2095,30,"CSP_int (dry_hybrid)"
"54","intermediate generation","solar","CSP_int",2100,30,"CSP_int (dry_hybrid)"
"55","intermediate generation","solar","CSP_int",2015,30,"CSP_int (recirculating)"
"56","intermediate generation","solar","CSP_int",2020,30,"CSP_int (recirculating)"
"57","intermediate generation","solar","CSP_int",2025,30,"CSP_int (recirculating)"
"58","intermediate generation","solar","CSP_int",2030,30,"CSP_int (recirculating)"
"59","intermediate generation","solar","CSP_int",2035,30,"CSP_int (recirculating)"
"60","intermediate generation","solar","CSP_int",2040,30,"CSP_int (recirculating)"
"61","intermediate generation","solar","CSP_int",2045,30,"CSP_int (recirculating)"
"62","intermediate generation","solar","CSP_int",2050,30,"CSP_int (recirculating)"
"63","intermediate generation","solar","CSP_int",2055,30,"CSP_int (recirculating)"
"64","intermediate generation","solar","CSP_int",2060,30,"CSP_int (recirculating)"
"65","intermediate generation","solar","CSP_int",2065,30,"CSP_int (recirculating)"
"66","intermediate generation","solar","CSP_int",2070,30,"CSP_int (recirculating)"
"67","intermediate generation","solar","CSP_int",2075,30,"CSP_int (recirculating)"
"68","intermediate generation","solar","CSP_int",2080,30,"CSP_int (recirculating)"
"69","intermediate generation","solar","CSP_int",2085,30,"CSP_int (recirculating)"
"70","intermediate generation","solar","CSP_int",2090,30,"CSP_int (recirculating)"
"71","intermediate generation","solar","CSP_int",2095,30,"CSP_int (recirculating)"
"72","intermediate generation","solar","CSP_int",2100,30,"CSP_int (recirculating)"
"73","intermediate generation","solar","PV_int",2015,30,"PV_int"
"74","intermediate generation","solar","PV_int",2020,30,"PV_int"
"75","intermediate generation","solar","PV_int",2025,30,"PV_int"
"76","intermediate generation","solar","PV_int",2030,30,"PV_int"
"77","intermediate generation","solar","PV_int",2035,30,"PV_int"
"78","intermediate generation","solar","PV_int",2040,30,"PV_int"
"79","intermediate generation","solar","PV_int",2045,30,"PV_int"
"80","intermediate generation","solar","PV_int",2050,30,"PV_int"
"81","intermediate generation","solar","PV_int",2055,30,"PV_int"
"82","intermediate generation","solar","PV_int",2060,30,"PV_int"
"83","intermediate generation","solar","PV_int",2065,30,"PV_int"
"84","intermediate generation","solar","PV_int",2070,30,"PV_int"
"85","intermediate generation","solar","PV_int",2075,30,"PV_int"
"86","intermediate generation","solar","PV_int",2080,30,"PV_int"
"87","intermediate generation","solar","PV_int",2085,30,"PV_int"
"88","intermediate generation","solar","PV_int",2090,30,"PV_int"
"89","intermediate generation","solar","PV_int",2095,30,"PV_int"
"90","intermediate generation","solar","PV_int",2100,30,"PV_int"
"91","intermediate generation","wind","wind_int",2015,30,"wind_int"
"92","intermediate generation","wind","wind_int",2020,30,"wind_int"
"93","intermediate generation","wind","wind_int",2025,30,"wind_int"
"94","intermediate generation","wind","wind_int",2030,30,"wind_int"
"95","intermediate generation","wind","wind_int",2035,30,"wind_int"
"96","intermediate generation","wind","wind_int",2040,30,"wind_int"
"97","intermediate generation","wind","wind_int",2045,30,"wind_int"
"98","intermediate generation","wind","wind_int",2050,30,"wind_int"
"99","intermediate generation","wind","wind_int",2055,30,"wind_int"
"100","intermediate generation","wind","wind_int",2060,30,"wind_int"
"101","intermediate generation","wind","wind_int",2065,30,"wind_int"
"102","intermediate generation","wind","wind_int",2070,30,"wind_int"
"103","intermediate generation","wind","wind_int",2075,30,"wind_int"
"104","intermediate generation","wind","wind_int",2080,30,"wind_int"
"105","intermediate generation","wind","wind_int",2085,30,"wind_int"
"106","intermediate generation","wind","wind_int",2090,30,"wind_int"
"107","intermediate generation","wind","wind_int",2095,30,"wind_int"
"108","intermediate generation","wind","wind_int",2100,30,"wind_int"
"109","peak generation","solar","CSP_peak",2015,30,"CSP_peak (dry_hybrid)"
"110","peak generation","solar","CSP_peak",2020,30,"CSP_peak (dry_hybrid)"
"111","peak generation","solar","CSP_peak",2025,30,"CSP_peak (dry_hybrid)"
"112","peak generation","solar","CSP_peak",2030,30,"CSP_peak (dry_hybrid)"
"113","peak generation","solar","CSP_peak",2035,30,"CSP_peak (dry_hybrid)"
"114","peak generation","solar","CSP_peak",2040,30,"CSP_peak (dry_hybrid)"
"115","peak generation","solar","CSP_peak",2045,30,"CSP_peak (dry_hybrid)"
"116","peak generation","solar","CSP_peak",2050,30,"CSP_peak (dry_hybrid)"
"117","peak generation","solar","CSP_peak",2055,30,"CSP_peak (dry_hybrid)"
"118","peak generation","solar","CSP_peak",2060,30,"CSP_peak (dry_hybrid)"
"119","peak generation","solar","CSP_peak",2065,30,"CSP_peak (dry_hybrid)"
"120","peak generation","solar","CSP_peak",2070,30,"CSP_peak (dry_hybrid)"
"121","peak generation","solar","CSP_peak",2075,30,"CSP_peak (dry_hybrid)"
"122","peak generation","solar","CSP_peak",2080,30,"CSP_peak (dry_hybrid)"
"123","peak generation","solar","CSP_peak",2085,30,"CSP_peak (dry_hybrid)"
"124","peak generation","solar","CSP_peak",2090,30,"CSP_peak (dry_hybrid)"
"125","peak generation","solar","CSP_peak",2095,30,"CSP_peak (dry_hybrid)"
"126","peak generation","solar","CSP_peak",2100,30,"CSP_peak (dry_hybrid)"
"127","peak generation","solar","CSP_peak",2015,30,"CSP_peak (recirculating)"
"128","peak generation","solar","CSP_peak",2020,30,"CSP_peak (recirculating)"
"129","peak generation","solar","CSP_peak",2025,30,"CSP_peak (recirculating)"
"130","peak generation","solar","CSP_peak",2030,30,"CSP_peak (recirculating)"
"131","peak generation","solar","CSP_peak",2035,30,"CSP_peak (recirculating)"
"132","peak generation","solar","CSP_peak",2040,30,"CSP_peak (recirculating)"
"133","peak generation","solar","CSP_peak",2045,30,"CSP_peak (recirculating)"
"134","peak generation","solar","CSP_peak",2050,30,"CSP_peak (recirculating)"
"135","peak generation","solar","CSP_peak",2055,30,"CSP_peak (recirculating)"
"136","peak generation","solar","CSP_peak",2060,30,"CSP_peak (recirculating)"
"137","peak generation","solar","CSP_peak",2065,30,"CSP_peak (recirculating)"
"138","peak generation","solar","CSP_peak",2070,30,"CSP_peak (recirculating)"
"139","peak generation","solar","CSP_peak",2075,30,"CSP_peak (recirculating)"
"140","peak generation","solar","CSP_peak",2080,30,"CSP_peak (recirculating)"
"141","peak generation","solar","CSP_peak",2085,30,"CSP_peak (recirculating)"
"142","peak generation","solar","CSP_peak",2090,30,"CSP_peak (recirculating)"
"143","peak generation","solar","CSP_peak",2095,30,"CSP_peak (recirculating)"
"144","peak generation","solar","CSP_peak",2100,30,"CSP_peak (recirculating)"
"145","peak generation","solar","PV_peak",2015,30,"PV_peak"
"146","peak generation","solar","PV_peak",2020,30,"PV_peak"
"147","peak generation","solar","PV_peak",2025,30,"PV_peak"
"148","peak generation","solar","PV_peak",2030,30,"PV_peak"
"149","peak generation","solar","PV_peak",2035,30,"PV_peak"
"150","peak generation","solar","PV_peak",2040,30,"PV_peak"
"151","peak generation","solar","PV_peak",2045,30,"PV_peak"
"152","peak generation","solar","PV_peak",2050,30,"PV_peak"
"153","peak generation","solar","PV_peak",2055,30,"PV_peak"
"154","peak generation","solar","PV_peak",2060,30,"PV_peak"
"155","peak generation","solar","PV_peak",2065,30,"PV_peak"
"156","peak generation","solar","PV_peak",2070,30,"PV_peak"
"157","peak generation","solar","PV_peak",2075,30,"PV_peak"
"158","peak generation","solar","PV_peak",2080,30,"PV_peak"
"159","peak generation","solar","PV_peak",2085,30,"PV_peak"
"160","peak generation","solar","PV_peak",2090,30,"PV_peak"
"161","peak generation","solar","PV_peak",2095,30,"PV_peak"
"162","peak generation","solar","PV_peak",2100,30,"PV_peak"
"163","subpeak generation","solar","CSP_subpeak",2015,30,"CSP_subpeak (dry_hybrid)"
"164","subpeak generation","solar","CSP_subpeak",2020,30,"CSP_subpeak (dry_hybrid)"
"165","subpeak generation","solar","CSP_subpeak",2025,30,"CSP_subpeak (dry_hybrid)"
"166","subpeak generation","solar","CSP_subpeak",2030,30,"CSP_subpeak (dry_hybrid)"
"167","subpeak generation","solar","CSP_subpeak",2035,30,"CSP_subpeak (dry_hybrid)"
"168","subpeak generation","solar","CSP_subpeak",2040,30,"CSP_subpeak (dry_hybrid)"
"169","subpeak generation","solar","CSP_subpeak",2045,30,"CSP_subpeak (dry_hybrid)"
"170","subpeak generation","solar","CSP_subpeak",2050,30,"CSP_subpeak (dry_hybrid)"
"171","subpeak generation","solar","CSP_subpeak",2055,30,"CSP_subpeak (dry_hybrid)"
"172","subpeak generation","solar","CSP_subpeak",2060,30,"CSP_subpeak (dry_hybrid)"
"173","subpeak generation","solar","CSP_subpeak",2065,30,"CSP_subpeak (dry_hybrid)"
"174","subpeak generation","solar","CSP_subpeak",2070,30,"CSP_subpeak (dry_hybrid)"
"175","subpeak generation","solar","CSP_subpeak",2075,30,"CSP_subpeak (dry_hybrid)"
"176","subpeak generation","solar","CSP_subpeak",2080,30,"CSP_subpeak (dry_hybrid)"
"177","subpeak generation","solar","CSP_subpeak",2085,30,"CSP_subpeak (dry_hybrid)"
"178","subpeak generation","solar","CSP_subpeak",2090,30,"CSP_subpeak (dry_hybrid)"
"179","subpeak generation","solar","CSP_subpeak",2095,30,"CSP_subpeak (dry_hybrid)"
"180","subpeak generation","solar","CSP_subpeak",2100,30,"CSP_subpeak (dry_hybrid)"
"181","subpeak generation","solar","CSP_subpeak",2015,30,"CSP_subpeak (recirculating)"
"182","subpeak generation","solar","CSP_subpeak",2020,30,"CSP_subpeak (recirculating)"
"183","subpeak generation","solar","CSP_subpeak",2025,30,"CSP_subpeak (recirculating)"
"184","subpeak generation","solar","CSP_subpeak",2030,30,"CSP_subpeak (recirculating)"
"185","subpeak generation","solar","CSP_subpeak",2035,30,"CSP_subpeak (recirculating)"
"186","subpeak generation","solar","CSP_subpeak",2040,30,"CSP_subpeak (recirculating)"
"187","subpeak generation","solar","CSP_subpeak",2045,30,"CSP_subpeak (recirculating)"
"188","subpeak generation","solar","CSP_subpeak",2050,30,"CSP_subpeak (recirculating)"
"189","subpeak generation","solar","CSP_subpeak",2055,30,"CSP_subpeak (recirculating)"
"190","subpeak generation","solar","CSP_subpeak",2060,30,"CSP_subpeak (recirculating)"
"191","subpeak generation","solar","CSP_subpeak",2065,30,"CSP_subpeak (recirculating)"
"192","subpeak generation","solar","CSP_subpeak",2070,30,"CSP_subpeak (recirculating)"
"193","subpeak generation","solar","CSP_subpeak",2075,30,"CSP_subpeak (recirculating)"
"194","subpeak generation","solar","CSP_subpeak",2080,30,"CSP_subpeak (recirculating)"
"195","subpeak generation","solar","CSP_subpeak",2085,30,"CSP_subpeak (recirculating)"
"196","subpeak generation","solar","CSP_subpeak",2090,30,"CSP_subpeak (recirculating)"
"197","subpeak generation","solar","CSP_subpeak",2095,30,"CSP_subpeak (recirculating)"
"198","subpeak generation","solar","CSP_subpeak",2100,30,"CSP_subpeak (recirculating)"
"199","subpeak generation","solar","PV_subpeak",2015,30,"PV_subpeak"
"200","subpeak generation","solar","PV_subpeak",2020,30,"PV_subpeak"
"201","subpeak generation","solar","PV_subpeak",2025,30,"PV_subpeak"
"202","subpeak generation","solar","PV_subpeak",2030,30,"PV_subpeak"
"203","subpeak generation","solar","PV_subpeak",2035,30,"PV_subpeak"
"204","subpeak generation","solar","PV_subpeak",2040,30,"PV_subpeak"
"205","subpeak generation","solar","PV_subpeak",2045,30,"PV_subpeak"
"206","subpeak generation","solar","PV_subpeak",2050,30,"PV_subpeak"
"207","subpeak generation","solar","PV_subpeak",2055,30,"PV_subpeak"
"208","subpeak generation","solar","PV_subpeak",2060,30,"PV_subpeak"
"209","subpeak generation","solar","PV_subpeak",2065,30,"PV_subpeak"
"210","subpeak generation","solar","PV_subpeak",2070,30,"PV_subpeak"
"211","subpeak generation","solar","PV_subpeak",2075,30,"PV_subpeak"
"212","subpeak generation","solar","PV_subpeak",2080,30,"PV_subpeak"
"213","subpeak generation","solar","PV_subpeak",2085,30,"PV_subpeak"
"214","subpeak generation","solar","PV_subpeak",2090,30,"PV_subpeak"
"215","subpeak generation","solar","PV_subpeak",2095,30,"PV_subpeak"
"216","subpeak generation","solar","PV_subpeak",2100,30,"PV_subpeak"
"217","subpeak generation","wind","wind_subpeak",2015,30,"wind_subpeak"
"218","subpeak generation","wind","wind_subpeak",2020,30,"wind_subpeak"
"219","subpeak generation","wind","wind_subpeak",2025,30,"wind_subpeak"
"220","subpeak generation","wind","wind_subpeak",2030,30,"wind_subpeak"
"221","subpeak generation","wind","wind_subpeak",2035,30,"wind_subpeak"
"222","subpeak generation","wind","wind_subpeak",2040,30,"wind_subpeak"
"223","subpeak generation","wind","wind_subpeak",2045,30,"wind_subpeak"
"224","subpeak generation","wind","wind_subpeak",2050,30,"wind_subpeak"
"225","subpeak generation","wind","wind_subpeak",2055,30,"wind_subpeak"
"226","subpeak generation","wind","wind_subpeak",2060,30,"wind_subpeak"
"227","subpeak generation","wind","wind_subpeak",2065,30,"wind_subpeak"
"228","subpeak generation","wind","wind_subpeak",2070,30,"wind_subpeak"
"229","subpeak generation","wind","wind_subpeak",2075,30,"wind_subpeak"
"230","subpeak generation","wind","wind_subpeak",2080,30,"wind_subpeak"
"231","subpeak generation","wind","wind_subpeak",2085,30,"wind_subpeak"
"232","subpeak generation","wind","wind_subpeak",2090,30,"wind_subpeak"
"233","subpeak generation","wind","wind_subpeak",2095,30,"wind_subpeak"
"234","subpeak generation","wind","wind_subpeak",2100,30,"wind_subpeak"
