"","sector.name","subsector.name0","subsector.name","year","input.OM.fixed","OM.fixed","intermittent.technology"
"155","peak generation","solar","CSP_peak",1975,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"156","peak generation","solar","CSP_peak",1990,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"157","peak generation","solar","CSP_peak",2005,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"158","peak generation","solar","CSP_peak",2010,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"159","peak generation","solar","CSP_peak",2015,"OM-fixed",15.92,"CSP_peak (dry_hybrid)"
"160","peak generation","solar","CSP_peak",2020,"OM-fixed",13.22,"CSP_peak (dry_hybrid)"
"161","peak generation","solar","CSP_peak",2025,"OM-fixed",12.21,"CSP_peak (dry_hybrid)"
"162","peak generation","solar","CSP_peak",2030,"OM-fixed",11.84,"CSP_peak (dry_hybrid)"
"163","peak generation","solar","CSP_peak",2035,"OM-fixed",11.7,"CSP_peak (dry_hybrid)"
"164","peak generation","solar","CSP_peak",2040,"OM-fixed",11.65,"CSP_peak (dry_hybrid)"
"165","peak generation","solar","CSP_peak",2045,"OM-fixed",11.63,"CSP_peak (dry_hybrid)"
"166","peak generation","solar","CSP_peak",2050,"OM-fixed",11.63,"CSP_peak (dry_hybrid)"
"167","peak generation","solar","CSP_peak",2055,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"168","peak generation","solar","CSP_peak",2060,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"169","peak generation","solar","CSP_peak",2065,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"170","peak generation","solar","CSP_peak",2070,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"171","peak generation","solar","CSP_peak",2075,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"172","peak generation","solar","CSP_peak",2080,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"173","peak generation","solar","CSP_peak",2085,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"174","peak generation","solar","CSP_peak",2090,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"175","peak generation","solar","CSP_peak",2095,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"176","peak generation","solar","CSP_peak",2100,"OM-fixed",11.62,"CSP_peak (dry_hybrid)"
"177","peak generation","solar","CSP_peak",1975,"OM-fixed",15.92,"CSP_peak (recirculating)"
"178","peak generation","solar","CSP_peak",1990,"OM-fixed",15.92,"CSP_peak (recirculating)"
"179","peak generation","solar","CSP_peak",2005,"OM-fixed",15.92,"CSP_peak (recirculating)"
"180","peak generation","solar","CSP_peak",2010,"OM-fixed",15.92,"CSP_peak (recirculating)"
"181","peak generation","solar","CSP_peak",2015,"OM-fixed",15.92,"CSP_peak (recirculating)"
"182","peak generation","solar","CSP_peak",2020,"OM-fixed",13.22,"CSP_peak (recirculating)"
"183","peak generation","solar","CSP_peak",2025,"OM-fixed",12.21,"CSP_peak (recirculating)"
"184","peak generation","solar","CSP_peak",2030,"OM-fixed",11.84,"CSP_peak (recirculating)"
"185","peak generation","solar","CSP_peak",2035,"OM-fixed",11.7,"CSP_peak (recirculating)"
"186","peak generation","solar","CSP_peak",2040,"OM-fixed",11.65,"CSP_peak (recirculating)"
"187","peak generation","solar","CSP_peak",2045,"OM-fixed",11.63,"CSP_peak (recirculating)"
"188","peak generation","solar","CSP_peak",2050,"OM-fixed",11.63,"CSP_peak (recirculating)"
"189","peak generation","solar","CSP_peak",2055,"OM-fixed",11.62,"CSP_peak (recirculating)"
"190","peak generation","solar","CSP_peak",2060,"OM-fixed",11.62,"CSP_peak (recirculating)"
"191","peak generation","solar","CSP_peak",2065,"OM-fixed",11.62,"CSP_peak (recirculating)"
"192","peak generation","solar","CSP_peak",2070,"OM-fixed",11.62,"CSP_peak (recirculating)"
"193","peak generation","solar","CSP_peak",2075,"OM-fixed",11.62,"CSP_peak (recirculating)"
"194","peak generation","solar","CSP_peak",2080,"OM-fixed",11.62,"CSP_peak (recirculating)"
"195","peak generation","solar","CSP_peak",2085,"OM-fixed",11.62,"CSP_peak (recirculating)"
"196","peak generation","solar","CSP_peak",2090,"OM-fixed",11.62,"CSP_peak (recirculating)"
"197","peak generation","solar","CSP_peak",2095,"OM-fixed",11.62,"CSP_peak (recirculating)"
"198","peak generation","solar","CSP_peak",2100,"OM-fixed",11.62,"CSP_peak (recirculating)"
"199","peak generation","solar","PV_peak",1975,"OM-fixed",4.36,"PV_peak"
"200","peak generation","solar","PV_peak",1990,"OM-fixed",4.36,"PV_peak"
"201","peak generation","solar","PV_peak",2005,"OM-fixed",4.36,"PV_peak"
"202","peak generation","solar","PV_peak",2010,"OM-fixed",4.36,"PV_peak"
"203","peak generation","solar","PV_peak",2015,"OM-fixed",4.36,"PV_peak"
"204","peak generation","solar","PV_peak",2020,"OM-fixed",3.89,"PV_peak"
"205","peak generation","solar","PV_peak",2025,"OM-fixed",3.55,"PV_peak"
"206","peak generation","solar","PV_peak",2030,"OM-fixed",3.3,"PV_peak"
"207","peak generation","solar","PV_peak",2035,"OM-fixed",3.12,"PV_peak"
"208","peak generation","solar","PV_peak",2040,"OM-fixed",2.99,"PV_peak"
"209","peak generation","solar","PV_peak",2045,"OM-fixed",2.89,"PV_peak"
"210","peak generation","solar","PV_peak",2050,"OM-fixed",2.82,"PV_peak"
"211","peak generation","solar","PV_peak",2055,"OM-fixed",2.76,"PV_peak"
"212","peak generation","solar","PV_peak",2060,"OM-fixed",2.72,"PV_peak"
"213","peak generation","solar","PV_peak",2065,"OM-fixed",2.69,"PV_peak"
"214","peak generation","solar","PV_peak",2070,"OM-fixed",2.67,"PV_peak"
"215","peak generation","solar","PV_peak",2075,"OM-fixed",2.66,"PV_peak"
"216","peak generation","solar","PV_peak",2080,"OM-fixed",2.65,"PV_peak"
"217","peak generation","solar","PV_peak",2085,"OM-fixed",2.64,"PV_peak"
"218","peak generation","solar","PV_peak",2090,"OM-fixed",2.63,"PV_peak"
"219","peak generation","solar","PV_peak",2095,"OM-fixed",2.63,"PV_peak"
"220","peak generation","solar","PV_peak",2100,"OM-fixed",2.62,"PV_peak"
"221","subpeak generation","solar","CSP_subpeak",1975,"OM-fixed",15.92,"CSP_subpeak (dry_hybrid)"
"222","subpeak generation","solar","CSP_subpeak",1990,"OM-fixed",15.92,"CSP_subpeak (dry_hybrid)"
"223","subpeak generation","solar","CSP_subpeak",2005,"OM-fixed",15.92,"CSP_subpeak (dry_hybrid)"
"224","subpeak generation","solar","CSP_subpeak",2010,"OM-fixed",15.92,"CSP_subpeak (dry_hybrid)"
"225","subpeak generation","solar","CSP_subpeak",2015,"OM-fixed",15.92,"CSP_subpeak (dry_hybrid)"
"226","subpeak generation","solar","CSP_subpeak",2020,"OM-fixed",13.22,"CSP_subpeak (dry_hybrid)"
"227","subpeak generation","solar","CSP_subpeak",2025,"OM-fixed",12.21,"CSP_subpeak (dry_hybrid)"
"228","subpeak generation","solar","CSP_subpeak",2030,"OM-fixed",11.84,"CSP_subpeak (dry_hybrid)"
"229","subpeak generation","solar","CSP_subpeak",2035,"OM-fixed",11.7,"CSP_subpeak (dry_hybrid)"
"230","subpeak generation","solar","CSP_subpeak",2040,"OM-fixed",11.65,"CSP_subpeak (dry_hybrid)"
"231","subpeak generation","solar","CSP_subpeak",2045,"OM-fixed",11.63,"CSP_subpeak (dry_hybrid)"
"232","subpeak generation","solar","CSP_subpeak",2050,"OM-fixed",11.63,"CSP_subpeak (dry_hybrid)"
"233","subpeak generation","solar","CSP_subpeak",2055,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"234","subpeak generation","solar","CSP_subpeak",2060,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"235","subpeak generation","solar","CSP_subpeak",2065,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"236","subpeak generation","solar","CSP_subpeak",2070,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"237","subpeak generation","solar","CSP_subpeak",2075,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"238","subpeak generation","solar","CSP_subpeak",2080,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"239","subpeak generation","solar","CSP_subpeak",2085,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"240","subpeak generation","solar","CSP_subpeak",2090,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"241","subpeak generation","solar","CSP_subpeak",2095,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"242","subpeak generation","solar","CSP_subpeak",2100,"OM-fixed",11.62,"CSP_subpeak (dry_hybrid)"
"243","subpeak generation","solar","CSP_subpeak",1975,"OM-fixed",15.92,"CSP_subpeak (recirculating)"
"244","subpeak generation","solar","CSP_subpeak",1990,"OM-fixed",15.92,"CSP_subpeak (recirculating)"
"245","subpeak generation","solar","CSP_subpeak",2005,"OM-fixed",15.92,"CSP_subpeak (recirculating)"
"246","subpeak generation","solar","CSP_subpeak",2010,"OM-fixed",15.92,"CSP_subpeak (recirculating)"
"247","subpeak generation","solar","CSP_subpeak",2015,"OM-fixed",15.92,"CSP_subpeak (recirculating)"
"248","subpeak generation","solar","CSP_subpeak",2020,"OM-fixed",13.22,"CSP_subpeak (recirculating)"
"249","subpeak generation","solar","CSP_subpeak",2025,"OM-fixed",12.21,"CSP_subpeak (recirculating)"
"250","subpeak generation","solar","CSP_subpeak",2030,"OM-fixed",11.84,"CSP_subpeak (recirculating)"
"251","subpeak generation","solar","CSP_subpeak",2035,"OM-fixed",11.7,"CSP_subpeak (recirculating)"
"252","subpeak generation","solar","CSP_subpeak",2040,"OM-fixed",11.65,"CSP_subpeak (recirculating)"
"253","subpeak generation","solar","CSP_subpeak",2045,"OM-fixed",11.63,"CSP_subpeak (recirculating)"
"254","subpeak generation","solar","CSP_subpeak",2050,"OM-fixed",11.63,"CSP_subpeak (recirculating)"
"255","subpeak generation","solar","CSP_subpeak",2055,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"256","subpeak generation","solar","CSP_subpeak",2060,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"257","subpeak generation","solar","CSP_subpeak",2065,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"258","subpeak generation","solar","CSP_subpeak",2070,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"259","subpeak generation","solar","CSP_subpeak",2075,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"260","subpeak generation","solar","CSP_subpeak",2080,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"261","subpeak generation","solar","CSP_subpeak",2085,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"262","subpeak generation","solar","CSP_subpeak",2090,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"263","subpeak generation","solar","CSP_subpeak",2095,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"264","subpeak generation","solar","CSP_subpeak",2100,"OM-fixed",11.62,"CSP_subpeak (recirculating)"
"265","subpeak generation","solar","PV_subpeak",1975,"OM-fixed",4.36,"PV_subpeak"
"266","subpeak generation","solar","PV_subpeak",1990,"OM-fixed",4.36,"PV_subpeak"
"267","subpeak generation","solar","PV_subpeak",2005,"OM-fixed",4.36,"PV_subpeak"
"268","subpeak generation","solar","PV_subpeak",2010,"OM-fixed",4.36,"PV_subpeak"
"269","subpeak generation","solar","PV_subpeak",2015,"OM-fixed",4.36,"PV_subpeak"
"270","subpeak generation","solar","PV_subpeak",2020,"OM-fixed",3.89,"PV_subpeak"
"271","subpeak generation","solar","PV_subpeak",2025,"OM-fixed",3.55,"PV_subpeak"
"272","subpeak generation","solar","PV_subpeak",2030,"OM-fixed",3.3,"PV_subpeak"
"273","subpeak generation","solar","PV_subpeak",2035,"OM-fixed",3.12,"PV_subpeak"
"274","subpeak generation","solar","PV_subpeak",2040,"OM-fixed",2.99,"PV_subpeak"
"275","subpeak generation","solar","PV_subpeak",2045,"OM-fixed",2.89,"PV_subpeak"
"276","subpeak generation","solar","PV_subpeak",2050,"OM-fixed",2.82,"PV_subpeak"
"277","subpeak generation","solar","PV_subpeak",2055,"OM-fixed",2.76,"PV_subpeak"
"278","subpeak generation","solar","PV_subpeak",2060,"OM-fixed",2.72,"PV_subpeak"
"279","subpeak generation","solar","PV_subpeak",2065,"OM-fixed",2.69,"PV_subpeak"
"280","subpeak generation","solar","PV_subpeak",2070,"OM-fixed",2.67,"PV_subpeak"
"281","subpeak generation","solar","PV_subpeak",2075,"OM-fixed",2.66,"PV_subpeak"
"282","subpeak generation","solar","PV_subpeak",2080,"OM-fixed",2.65,"PV_subpeak"
"283","subpeak generation","solar","PV_subpeak",2085,"OM-fixed",2.64,"PV_subpeak"
"284","subpeak generation","solar","PV_subpeak",2090,"OM-fixed",2.63,"PV_subpeak"
"285","subpeak generation","solar","PV_subpeak",2095,"OM-fixed",2.63,"PV_subpeak"
"286","subpeak generation","solar","PV_subpeak",2100,"OM-fixed",2.62,"PV_subpeak"
"287","subpeak generation","wind","wind_subpeak",1975,"OM-fixed",14.54,"wind_subpeak"
"288","subpeak generation","wind","wind_subpeak",1990,"OM-fixed",14.54,"wind_subpeak"
"289","subpeak generation","wind","wind_subpeak",2005,"OM-fixed",14.54,"wind_subpeak"
"290","subpeak generation","wind","wind_subpeak",2010,"OM-fixed",14.54,"wind_subpeak"
"291","subpeak generation","wind","wind_subpeak",2015,"OM-fixed",14.54,"wind_subpeak"
"292","subpeak generation","wind","wind_subpeak",2020,"OM-fixed",12.9,"wind_subpeak"
"293","subpeak generation","wind","wind_subpeak",2025,"OM-fixed",11.76,"wind_subpeak"
"294","subpeak generation","wind","wind_subpeak",2030,"OM-fixed",10.97,"wind_subpeak"
"295","subpeak generation","wind","wind_subpeak",2035,"OM-fixed",10.42,"wind_subpeak"
"296","subpeak generation","wind","wind_subpeak",2040,"OM-fixed",10.04,"wind_subpeak"
"297","subpeak generation","wind","wind_subpeak",2045,"OM-fixed",9.77,"wind_subpeak"
"298","subpeak generation","wind","wind_subpeak",2050,"OM-fixed",9.58,"wind_subpeak"
"299","subpeak generation","wind","wind_subpeak",2055,"OM-fixed",9.46,"wind_subpeak"
"300","subpeak generation","wind","wind_subpeak",2060,"OM-fixed",9.37,"wind_subpeak"
"301","subpeak generation","wind","wind_subpeak",2065,"OM-fixed",9.3,"wind_subpeak"
"302","subpeak generation","wind","wind_subpeak",2070,"OM-fixed",9.26,"wind_subpeak"
"303","subpeak generation","wind","wind_subpeak",2075,"OM-fixed",9.23,"wind_subpeak"
"304","subpeak generation","wind","wind_subpeak",2080,"OM-fixed",9.21,"wind_subpeak"
"305","subpeak generation","wind","wind_subpeak",2085,"OM-fixed",9.19,"wind_subpeak"
"306","subpeak generation","wind","wind_subpeak",2090,"OM-fixed",9.18,"wind_subpeak"
"307","subpeak generation","wind","wind_subpeak",2095,"OM-fixed",9.18,"wind_subpeak"
"308","subpeak generation","wind","wind_subpeak",2100,"OM-fixed",9.17,"wind_subpeak"
